,0
company,552
eur,536
share,310
million,225
sale,223
finnish,222
said,219
finland,214
mn,211
service,196
business,187
group,185
market,176
new,170
net,154
profit,147
year,139
also,129
mln,126
operating,121
euro,119
product,111
total,108
helsinki,101
quarter,99
unit,98
plant,97
oyj,97
operation,90
investment,90
solution,90
financial,88
value,85
contract,85
based,84
first,82
system,82
production,82
bank,82
nokia,80
period,79
project,79
board,79
capital,79
part,79
customer,78
mobile,75
per,74
building,73
according,73
corporation,73
stock,72
price,71
well,71
oy,70
development,66
area,66
order,65
industry,64
medium,64
construction,64
report,63
technology,62
one,62
today,61
approximately,61
would,58
deal,58
right,58
january,57
end,56
employee,55
option,55
two,54
result,53
plc,53
ceo,53
director,52
network,52
stake,50
annual,50
design,49
includes,49
loss,49
number,49
u,49
paper,48
office,48
country,48
usd,48
real,48
omx,48
exchange,47
percent,47
data,47
equipment,47
shareholder,47
september,46
including,46
v,45
expected,45
include,45
start,45
line,45
information,45
second,45
agreement,44
time,44
management,44
pct,44
transaction,43
facility,43
offer,42
compared,42
global,42
may,42
application,41
russia,41
hel,41
decreased,41
acquisition,40
ltd,40
e,39
people,39
sector,39
manufacturing,39
march,39
term,39
plan,38
sell,38
month,38
brand,37
made,37
software,37
october,37
dividend,37
phone,36
april,36
announced,36
communication,36
n,35
issue,35
news,35
device,35
delivery,34
oil,34
work,34
high,34
president,34
billion,34
engineering,34
use,34
available,33
related,33
amount,33
developed,33
cover,33
subsidiary,33
electronics,33
meeting,33
revenue,32
reported,32
following,32
third,32
consumer,32
power,32
fell,32
however,32
material,31
make,31
distribution,31
state,31
capman,31
last,31
june,31
member,30
take,30
property,30
general,30
fund,30
currently,30
pharmaceutical,30
com,30
process,29
chairman,29
manufacturer,29
holding,29
energy,29
largest,29
range,29
world,29
earlier,28
used,28
store,28
release,28
industrial,28
investor,28
center,28
nordea,28
acquired,28
